Date_NZST,Agent,NetNo,Wd,Wsmps,WdSD,WsSD_m,GWd,GWsmps,Tmax,Tmin,Tav,TGmin,RHav,Td,Rhs,RadGWm2,SunM,Rain,SoilM,PresMSL,ET05,ET10,ET20,ET30,ET50,ET100
5/1/2018 0:00,4424,G14722,204,12.7,,,206,20.1,12.7,12.4,,,80,12.5,80,,,,,1004.6,,,,,,
5/1/2018 0:00,4506,G23464,239,6.8,,,224,10.8,11.2,10.5,,,97,10.8,96,,,0,,1008.1,,,,,,
5/1/2018 1:00,4424,G14722,202,13.7,,,200,21.6,12.5,12.2,,,81,12.4,81,,,,,1004.6,,,,,,
5/1/2018 1:00,4506,G23464,225,6.8,,,231,11.3,11.1,10.6,,,95,11.1,94,,,0,,1007.8,,,,,,
5/1/2018 2:00,4424,G14722,206,13.1,,,207,21.1,12.5,12.3,,,80,12.4,80,,,,,1004.6,,,,,,
5/1/2018 2:00,4506,G23464,222,7.6,,,229,11.3,11.4,10.9,,,91,11.3,88,,,0,,1007.5,,,,,,
5/1/2018 3:00,4424,G14722,200,13.3,,,201,22.1,12.6,12.3,,,79,12.5,78,,,,,1004.3,,,,,,
5/1/2018 3:00,4506,G23464,259,6.6,,,234,10.3,11.4,10.6,,,89,10.6,92,,,0,,1007,,,,,,
5/1/2018 4:00,4424,G14722,209,11.3,,,207,18.5,12.8,12.3,,,76,12.8,74,,,,,1004.4,,,,,,
5/1/2018 4:00,4506,G23464,262,6.7,,,270,9.3,10.6,10.3,,,91,10.3,90,,,0,,1006.1,,,,,,
5/1/2018 5:00,4424,G14722,207,9.9,,,203,16.5,13,12.8,,,73,12.9,73,,,,,1004.6,,,,,,
5/1/2018 5:00,4506,G23464,253,5.8,,,264,8.8,10.7,10.2,,,88,10.6,86,,,0,,1005.8,,,,,,
5/1/2018 6:00,4424,G14722,204,8.2,,,211,13.4,13,12.7,,,72,12.7,72,,,,,1004.9,,,,,,
5/1/2018 6:00,4506,G23464,189,5.1,,,186,9.3,11.3,10.5,,,87,11.1,88,,,0,,1005.4,,,,,,
5/1/2018 7:00,4424,G14722,209,7.2,,,203,11.3,12.9,12.7,,,73,12.9,75,,,,,1005,,,,,,
5/1/2018 7:00,4506,G23464,194,9.5,,,192,12.4,11.3,10.8,,,85,10.9,87,,,0,,1005.5,,,,,,
5/1/2018 8:00,4424,G14722,205,6.8,,,200,11.8,12.9,12.4,,,76,12.7,77,,,,,1005.4,,,,,,
5/1/2018 8:00,4506,G23464,203,8.3,,,196,12.9,10.9,10.6,,,90,10.7,92,,,0,,1005.6,,,,,,
5/1/2018 9:00,4424,G14722,193,7.9,,,197,10.8,13.6,12.7,,,76,13.2,76,,,,,1005.6,,,,,,
